School District,Distance to Subway (km),House Area (sqm),Room Count,Plot Ratio,Parking Ratio,House Age (years),House Price (CNY),Cost Performance Level
2,7.68,167.61,5,1.73,1.24,34,3688170.0000000005,1
7,3.45,108.69,3,3.32,4.13,48,2432120.0,4
6,1.84,146.19,4,2.76,0.31,7,3568420.0,4
4,4.27,142.61,4,3.25,4.76,15,3172690.0000000005,2
7,7.96,155.17,5,2.54,0.24,42,3463679.9999999995,2
4,4.7,121.57,4,1.4,1.21,4,2715560.0,2
2,5.42,83.51,2,1.3,2.32,15,1677540.0,1
10,9.95,101.5,3,0.53,3.78,40,2277530.0,3
7,4.05,133.71,4,3.23,4.76,12,3024910.0,4
8,6.19,192.74,6,3.46,2.14,7,4358100.0,3
2,3.72,100.64,3,3.19,3.79,25,2217470.0,2
5,3.99,152.19,5,0.76,3.64,4,3561890.0,3
1,6.99,106.88,3,3.17,2.86,8,2258030.0,1
7,9.39,124.42,4,0.66,3.45,37,2671060.0,2
8,5.47,180.62,6,0.87,0.19,1,4096150.0,3
6,7.71,150.57,5,2.04,2.21,6,3382920.0,2
5,0.98,70.35,2,2.17,3.93,29,1779440.0,4
6,2.19,97.1,3,3.36,2.37,16,2379780.0,4
2,5.07,170.25,5,2.88,4.37,43,3742360.0,1
1,0.3,125.68,4,1.04,4.17,30,3268980.0,2
7,2.6,74.05,2,1.29,4.32,0,1789500.0,5
7,5.22,87.24,2,1.5,0.65,27,1796600.0,4
10,0.25,148.14,4,0.93,1.22,29,4008149.9999999995,5
10,2.72,159.78,5,1.51,0.15,46,4136290.0,5
2,5.19,120.71,4,3.05,4.91,30,2540680.0,1
2,5.77,219.01,6,1.34,1.18,23,4178210.0,1
1,9.26,152.97,5,3.42,1.84,30,3364600.0,1
10,6.49,110.26,3,2.14,1.37,10,2485060.0,5
8,4.21,87.37,2,1.63,0.2,41,1896540.0,5
8,9.31,81.0,2,1.94,1.31,15,1709680.0,3
1,7.87,133.42,4,2.98,0.49,8,2815819.9999999995,1
8,2.08,100.45,3,2.31,1.97,29,2492430.0,5
9,1.4,186.95,6,0.53,4.83,11,4825880.0,5
4,6.79,178.65,5,3.73,3.49,46,3936550.0,1
1,5.64,145.32,4,0.73,3.53,15,3067050.0,1
1,7.92,72.84,2,3.79,2.27,32,1439550.0,1
3,7.41,93.11,3,0.6,4.06,5,1988830.0,1
5,6.29,170.23,5,3.2,4.54,44,3765940.0,2
5,9.87,97.48,3,2.37,4.81,0,2103330.0,1
9,5.38,164.89,5,2.27,0.49,12,3763289.9999999995,4
10,1.22,138.98,4,0.75,4.4,36,3491570.0,5
2,8.3,122.07,4,1.34,1.13,34,2559390.0,1
2,2.59,91.89,3,3.22,1.99,43,2187120.0,2
6,7.8,116.23,3,3.62,1.73,25,2479670.0,2
9,9.58,127.59,4,2.35,3.38,41,2786800.0,3
1,7.0,161.3,5,1.74,2.99,8,3573840.0000000005,1
9,6.0,84.57,2,0.71,0.55,16,1809789.9999999998,5
9,4.66,109.49,3,2.89,3.91,37,2515710.0,5
9,3.71,121.79,4,1.47,2.2,45,2781310.0,5
5,3.59,146.51,4,0.69,0.01,34,3242550.0,3
9,6.4,83.66,2,2.83,2.07,24,1784510.0,4
4,7.54,67.34,2,2.2,2.58,49,1334760.0,2
2,6.82,146.96,4,0.54,0.34,6,3109300.0,1
6,2.06,59.28,1,0.89,0.76,40,1373070.0,5
4,4.99,171.4,5,2.95,4.97,46,3952190.0,2
6,7.94,113.76,3,0.72,4.36,30,2430960.0,2
3,4.81,58.1,1,3.53,0.67,31,1202910.0,2
6,5.41,100.78,3,1.59,2.9,50,2134590.0,3
2,7.73,135.16,4,0.81,1.9,47,2823350.0,1
2,6.65,98.69,3,3.16,2.72,18,2080770.0,1
9,4.15,120.8,4,2.34,2.35,50,2753960.0,5
7,8.96,149.6,4,1.57,0.24,16,3213510.0,2
3,1.71,111.91,3,1.92,1.58,5,2713080.0,3
1,9.96,82.52,2,0.57,0.63,24,1641090.0,1
8,1.28,108.04,3,2.82,2.44,32,2672020.0,5
6,0.25,176.59,5,1.78,4.54,18,4831230.0,4
7,8.91,187.4,6,3.0,4.98,14,4214760.0,2
9,2.53,39.2,1,2.7,4.72,34,1003340.0,5
5,7.32,163.64,5,2.78,4.93,48,3618159.9999999995,1
1,8.13,130.01,4,3.28,0.08,31,2720090.0,1
10,8.6,156.96,5,2.71,3.65,37,3609710.0,3
7,9.92,97.98,3,1.97,1.36,35,2107330.0,2
5,3.01,49.27,1,1.86,4.33,31,1049470.0,4
3,7.13,143.38,4,0.92,4.07,31,3023200.0,1
9,1.24,82.36,2,3.23,2.12,39,1990290.0,5
1,4.13,64.47,2,3.16,2.37,35,1334450.0,1
1,8.49,67.26,2,1.36,1.33,33,1327500.0,1
1,3.74,144.04,4,3.52,1.44,9,3183240.0,1
3,5.95,125.58,4,2.56,4.91,43,2637440.0,1
6,5.09,151.3,5,2.18,4.44,32,3377300.0000000005,3
10,6.49,146.76,4,0.56,0.96,43,3224320.0,4
3,9.73,103.16,3,1.84,1.38,9,2189280.0,1
8,0.65,117.18,3,2.74,0.54,43,3111020.0,5
10,5.78,99.54,3,0.81,4.94,50,2228410.0,5
2,8.64,111.59,3,2.11,4.54,34,2340360.0,1
9,4.87,81.31,2,3.98,2.76,21,1822050.0,5
3,0.88,135.62,4,3.01,3.46,50,3516030.0,3
5,5.65,163.0,5,2.41,3.74,22,3628070.0,2
10,3.39,87.34,2,2.37,1.02,6,2001810.0,5
8,1.63,171.25,5,0.65,4.67,20,4388940.0,5
2,8.51,124.54,4,3.85,2.63,0,2645750.0,1
6,5.26,129.64,4,3.75,0.46,12,2776609.9999999995,3
5,9.34,52.02,1,2.89,1.99,8,1067490.0,2
10,8.08,47.71,1,0.85,3.01,47,1081370.0,5
9,6.96,125.76,4,1.23,1.76,49,2738250.0,4
5,0.15,151.59,5,1.14,3.5,46,4111790.0,4
2,4.34,93.14,3,2.32,4.41,19,2060580.0,2
5,2.06,186.8,6,1.23,3.86,46,4694490.0,3
4,9.12,149.4,4,2.94,3.21,46,3138880.0,1
7,1.83,83.67,2,2.41,2.56,9,1997120.0,5
6,2.93,121.23,4,0.56,1.27,25,2955500.0,4
2,5.22,219.08,6,3.1,2.27,49,4153960.0000000005,1
5,2.71,70.3,2,1.16,1.46,46,1616660.0,4
7,2.18,141.13,4,3.39,4.67,43,3439070.0,4
7,6.03,107.09,3,1.74,4.54,0,2340230.0,3
5,0.98,148.28,4,1.69,0.78,44,3865150.0,4
9,0.68,170.69,5,0.54,4.11,16,4749310.0,5
4,3.79,104.55,3,3.96,3.51,16,2326160.0,3
3,7.23,164.76,5,2.64,4.88,38,3634840.0,1
4,5.59,208.85,6,1.98,2.32,42,3982810.0,1
5,4.29,122.65,4,0.84,3.61,11,2747680.0,3
6,5.7,151.4,5,2.95,2.59,40,3367030.0,3
3,3.72,96.38,3,1.49,0.35,14,2136570.0,2
2,9.37,120.77,4,3.96,0.23,0,2561670.0,1
4,0.64,112.93,3,3.83,0.61,31,2941570.0,4
5,6.77,151.88,5,3.07,1.48,10,3390250.0,2
4,8.92,168.19,5,3.9,1.3,4,3743880.0,1
3,8.06,115.61,3,0.87,3.64,50,2415220.0,1
8,1.92,181.34,6,1.48,3.58,17,4646180.0,5
10,3.03,181.2,6,1.39,4.86,49,4320930.0,5
4,7.2,153.87,5,0.75,1.55,17,3419490.0,1
2,0.93,99.36,3,3.9,4.69,22,2590840.0,3
2,8.14,95.53,3,0.71,3.06,6,2029540.0,1
1,7.22,87.5,2,3.5,2.48,45,1720460.0,1
4,7.32,157.97,5,3.19,3.34,25,3502830.0,1
10,1.09,71.53,2,1.82,3.51,0,1824390.0,5
9,7.21,147.07,4,0.57,0.86,27,3206620.0,4
7,6.83,76.76,2,0.52,3.76,19,1602200.0,3
10,8.33,152.94,5,1.21,3.63,40,3519730.0,4
7,0.51,120.69,4,2.23,4.99,47,3187690.0,5
7,0.33,173.35,5,2.1,4.56,22,4759470.0,5
8,3.79,165.66,5,2.55,3.42,31,3902470.0,4
1,1.57,177.4,5,3.2,3.56,37,4430920.0,1
10,5.63,178.43,5,1.82,4.73,38,4084100.0,4
10,9.18,125.75,4,1.06,4.84,17,2816370.0,4
8,3.98,73.65,2,3.3,4.13,32,1623610.0,5
4,8.47,77.9,2,1.66,3.84,24,1574020.0,1
4,0.1,36.53,1,1.5,0.56,31,910870.0,5
4,1.77,76.65,2,3.18,4.15,47,1755070.0,4
6,0.4,122.75,4,3.77,1.27,49,3210270.0,5
7,3.35,97.61,3,3.7,2.82,49,2184360.0,4
6,9.09,112.79,3,0.98,2.03,50,2385670.0,2
1,1.06,139.71,4,2.26,1.73,27,3351240.0,2
8,6.1,107.84,3,0.83,1.55,12,2363910.0,4
10,4.57,75.13,2,3.86,4.28,18,1738430.0,5
7,9.39,117.87,3,1.25,3.85,2,2563720.0,2
6,1.31,84.06,2,1.19,2.62,26,1970430.0,5
6,2.2,109.17,3,3.61,3.32,16,2671110.0,4
5,0.39,173.71,5,3.89,4.92,42,4713120.0,4
6,4.4,109.18,3,2.94,1.99,28,2439000.0,3
9,2.85,190.84,6,0.92,2.76,48,4881600.0,5
10,8.71,177.27,5,2.2,2.67,43,4049080.0,3
9,6.09,96.83,3,3.36,4.68,43,2135430.0,4
10,6.18,75.56,2,2.5,1.76,47,1639220.0,5
8,5.37,117.9,3,0.96,4.93,32,2561800.0,4
10,1.01,166.13,5,1.1,1.52,27,4317190.0,5
9,4.51,100.39,3,3.52,0.54,19,2326140.0,5
10,10.0,156.32,5,2.34,0.96,44,3583620.0,3
8,8.37,168.34,5,2.97,2.13,33,3790770.0,2
8,8.95,89.04,2,1.81,3.25,15,1874490.0000000002,3
1,8.25,92.96,3,2.36,2.58,38,1935959.9999999998,1
10,1.12,148.51,4,3.92,1.88,1,3747080.0,5
5,2.35,126.07,4,1.65,2.81,49,3034650.0,3
4,0.13,92.56,3,2.86,4.19,27,2424080.0,4
2,3.1,105.91,3,1.1,4.19,16,2345300.0,2
8,1.18,117.18,3,0.93,3.63,47,2880650.0,5
3,4.78,57.41,1,3.24,4.76,19,1208890.0,2
4,6.8,150.63,5,3.45,2.95,17,3348310.0,1
7,8.76,100.85,3,2.84,0.04,27,2172090.0,2
10,7.52,20.0,1,1.05,1.45,27,543850.0,5
9,9.39,119.05,3,1.34,1.64,15,2625990.0,3
2,0.63,90.34,3,3.69,2.74,32,2342630.0,3
3,0.22,187.55,6,1.51,4.52,20,5097380.0,3
4,6.65,96.58,3,3.37,4.19,4,2068190.0,2
10,2.96,76.09,2,1.5,1.16,46,1878890.0,5
1,2.61,140.32,4,3.79,2.6,44,3349090.0,1
7,3.38,93.58,3,3.7,3.3,36,2109660.0,4
2,2.77,88.82,2,0.65,4.94,17,2054089.9999999998,2
5,5.16,140.38,4,3.2,0.16,4,2995100.0,2
1,4.46,78.38,2,1.09,2.32,47,1616530.0,1
3,5.17,61.71,2,1.25,4.94,42,1226830.0,2
2,6.76,189.04,6,2.11,4.89,10,4195550.0,1
1,3.93,143.18,4,2.52,1.65,21,3153740.0,1
7,2.59,109.43,3,1.64,0.0,22,2686680.0,5
5,1.75,119.86,3,2.51,2.93,25,2903990.0,4
1,3.56,140.23,4,1.1,4.33,26,3090620.0,1
6,7.44,158.93,5,0.58,1.62,2,3571120.0,2
5,7.59,89.76,2,2.5,4.67,50,1796040.0,2
3,6.7,134.65,4,2.31,1.66,41,2823660.0,1
7,2.42,99.73,3,2.91,3.05,1,2479710.0,5
10,5.92,112.44,3,2.77,3.61,16,2528690.0,5
9,5.75,126.43,4,3.64,1.73,2,2796850.0,4
9,4.89,119.73,3,2.11,1.76,2,2772470.0,5
9,5.54,149.42,4,0.53,2.35,39,3246989.9999999995,4
2,4.97,139.48,4,2.71,4.18,15,3088210.0,1
3,5.7,59.67,1,2.86,0.5,11,1196540.0,2
7,7.18,65.69,2,2.33,3.16,50,1346790.0,3
5,1.19,105.21,3,2.91,3.39,0,2577910.0,4
2,7.52,193.15,6,1.63,2.79,50,4242250.0,1
3,1.45,85.94,2,1.02,4.68,3,2007960.0,3
10,0.76,111.67,3,2.83,3.01,16,3069610.0,5
6,9.76,98.55,3,1.36,3.17,18,2120530.0,2
7,9.57,97.84,3,2.1,3.0,3,2139540.0,2
9,0.7,127.13,4,2.22,3.61,46,3408380.0,5
1,4.49,176.03,5,2.17,0.68,38,4038880.0,1
7,1.94,138.24,4,2.59,4.47,19,3394110.0,4
8,4.9,87.86,2,0.6,0.21,48,1900880.0,4
3,8.32,230.13,6,3.96,3.2,40,4380910.0,1
4,9.51,123.14,4,3.01,3.08,38,2595090.0,1
10,6.38,96.91,3,1.99,1.04,3,2211200.0,5
6,3.6,176.48,5,1.17,0.2,16,4116270.0,3
10,6.07,101.24,3,0.78,0.69,14,2291640.0,5
7,3.19,186.52,6,2.85,1.36,40,4348830.0,4
4,9.11,85.17,2,1.61,4.41,27,1717610.0,1
8,8.72,177.2,5,1.3,4.28,15,4009659.9999999995,2
5,5.63,128.04,4,1.83,0.32,5,2736650.0,2
1,3.32,171.64,5,2.58,1.45,27,3950039.9999999995,1
4,3.0,196.07,6,2.85,4.45,31,4930800.0,2
3,0.43,74.7,2,2.76,1.18,16,1877100.0,4
9,8.18,171.03,5,3.52,4.98,24,3894100.0,3
8,4.56,63.64,2,1.27,1.28,38,1403730.0,5
1,3.32,78.11,2,2.73,3.7,16,1642980.0,2
6,4.76,87.86,2,0.85,2.09,45,1862390.0,4
9,8.21,140.15,4,2.42,0.68,14,3072090.0,3
7,1.33,121.32,4,2.54,1.28,49,2951700.0,5
4,8.59,113.31,3,1.26,3.38,50,2374010.0,1
1,8.99,125.85,4,1.87,1.69,17,2651360.0,1
2,9.47,143.65,4,3.4,3.02,45,3003290.0,1
5,4.04,146.73,4,1.02,1.03,19,3264100.0,3
5,2.25,163.77,5,2.02,2.24,22,4133710.0,3
8,3.8,192.8,6,3.76,2.56,4,4555760.0,4
6,3.4,119.15,3,2.26,2.06,38,2649160.0,4
8,1.84,99.16,3,3.04,0.99,11,2476780.0,5
2,6.11,144.54,4,3.39,2.31,16,3049570.0,1
3,4.82,74.23,2,1.21,3.46,29,1561540.0,2
6,8.67,92.85,3,1.26,4.82,18,2004229.9999999998,2
10,0.42,159.98,5,3.16,3.95,31,4482200.0,5
3,6.47,115.03,3,3.14,0.81,15,2430110.0,1
6,7.65,71.67,2,0.71,1.36,1,1493410.0,3
6,7.62,60.41,2,1.63,0.39,11,1255350.0,3
2,8.87,121.95,4,1.89,0.68,48,2541420.0,1
7,7.32,165.68,5,3.4,1.25,2,3736060.0,2
2,9.29,165.14,5,1.98,1.0,7,3660099.9999999995,1
6,3.39,124.44,4,3.74,1.07,36,2769080.0,4
1,5.08,200.36,6,3.99,1.15,23,3816150.0000000005,1
3,0.24,115.81,3,3.23,1.5,48,2993830.0,3
2,0.17,114.46,3,2.83,0.63,24,2974390.0,3
7,2.48,20.0,1,1.87,1.39,24,510910.0,5
4,1.1,102.11,3,0.73,3.44,13,2482790.0,4
8,2.68,154.08,5,2.51,1.18,45,3925850.0000000005,5
6,1.85,182.56,6,1.77,0.86,35,4607950.0,4
10,0.38,86.79,2,1.73,0.34,14,2328700.0000000005,5
4,9.1,138.49,4,2.91,2.5,31,2923380.0,1
5,0.18,161.88,5,2.12,4.21,1,4435060.0,4
9,7.39,120.45,4,3.13,0.3,20,2650920.0,4
7,1.61,28.67,1,1.89,2.71,3,733940.0,5
10,9.13,129.89,4,1.03,3.25,28,2889159.9999999995,3
9,8.94,150.46,5,2.11,2.96,48,3414930.0,3
7,6.57,82.1,2,3.83,4.39,28,1697950.0,3
1,6.76,109.83,3,3.31,4.33,22,2308780.0,1
8,0.15,73.78,2,1.22,0.29,2,1945860.0,5
4,9.85,20.0,1,1.87,1.8,20,410730.0,1
3,8.79,161.08,5,3.75,3.35,15,3572710.0000000005,1
7,8.96,119.85,3,0.93,4.76,43,2566440.0,2
3,6.63,183.91,6,1.39,4.02,19,4079670.0,1
8,3.51,154.29,5,1.42,0.88,34,3634010.0,4
6,8.95,105.83,3,2.5,1.4,4,2282730.0,2
5,2.99,116.67,3,1.94,3.82,47,2807780.0,3
4,5.67,142.65,4,0.78,2.36,25,3018590.0,2
8,1.09,158.68,5,2.7,2.74,6,4082780.0,5
8,9.23,132.91,4,0.85,3.04,15,2895340.0,2
1,1.49,164.22,5,2.62,0.52,16,4116920.0,1
9,2.33,108.13,3,2.27,4.28,1,2739410.0,5
5,5.63,80.11,2,2.23,4.32,11,1641610.0,3
4,7.66,117.41,3,0.74,2.34,12,2496550.0,1
6,6.23,128.21,4,2.74,3.13,4,2760930.0,3
6,2.4,71.94,2,2.01,3.3,15,1703210.0,4
2,0.11,66.53,2,1.94,0.95,27,1655210.0,3
8,7.6,137.9,4,2.59,0.56,7,3001430.0,3
7,9.85,103.75,3,2.62,0.1,27,2233330.0,2
1,8.12,113.37,3,0.55,4.56,45,2363340.0,1
5,4.66,105.61,3,0.94,1.73,7,2367940.0,3
6,9.05,180.82,6,1.33,0.43,28,4028570.0,1
4,4.16,170.47,5,2.87,2.33,17,3954600.0,2
2,5.3,70.51,2,2.52,0.38,43,1384440.0,1
4,4.82,98.69,3,3.15,0.43,42,2165890.0,2
1,4.53,154.0,5,3.09,2.44,15,3557790.0,1
7,7.77,144.08,4,3.49,2.54,25,3091270.0000000005,2
2,5.32,118.34,3,1.82,2.9,21,2492120.0,1
2,3.24,74.5,2,1.71,3.28,14,1574350.0,2
9,2.66,92.7,3,3.41,3.34,12,2355070.0,5
5,0.47,99.33,3,1.33,2.16,21,2613570.0,4
2,5.87,131.08,4,2.11,3.22,20,2766010.0000000005,1
9,2.38,188.15,6,1.18,1.52,49,4810610.0,5
9,1.57,92.52,3,3.7,2.21,23,2337200.0,5
1,6.57,78.96,2,1.93,1.97,0,1595209.9999999998,1
3,6.84,115.66,3,1.24,1.65,28,2433920.0,1
4,7.55,161.27,5,2.92,1.19,0,3596400.0,1
7,5.09,62.12,2,1.36,0.39,0,1320820.0,4
10,8.95,178.15,5,3.8,2.53,8,4101560.0,3
4,9.37,113.12,3,1.79,2.69,20,2398110.0,1
2,8.09,90.63,3,2.83,1.68,13,1914760.0,1
7,6.39,55.99,1,1.71,4.88,27,1169850.0,4
6,3.11,148.26,4,3.33,2.78,17,3315950.0,4
3,9.83,113.15,3,3.64,4.45,32,2380410.0,1
6,2.81,126.83,4,3.26,2.85,42,3073360.0,4
6,2.11,83.97,2,3.47,0.95,1,1987740.0,4
5,4.48,107.24,3,0.86,4.87,50,2367160.0,3
4,0.66,100.54,3,3.73,4.43,33,2625170.0,4
10,9.79,115.98,3,2.69,2.36,23,2593610.0,3
1,5.93,93.22,3,3.54,1.22,18,1957520.0,1
10,5.61,58.63,1,2.9,1.11,1,1334920.0,5
6,6.59,229.14,6,1.21,4.03,5,4434510.0,2
2,5.02,65.46,2,2.63,0.35,14,1312269.9999999998,2
3,0.42,127.26,4,0.82,3.19,10,3340320.0,3
8,6.16,49.12,1,2.94,3.2,15,1069860.0,4
10,7.19,40.12,1,1.93,0.91,20,951290.0,5
6,4.23,123.91,4,1.03,3.52,26,2775030.0,3
3,7.6,126.97,4,3.93,3.53,21,2684500.0,1
7,2.35,170.46,5,3.65,1.75,2,4353350.0,4
4,2.29,135.98,4,3.63,2.42,2,3306730.0,3
9,1.7,114.01,3,3.26,4.16,50,2830300.0,5
5,3.78,82.02,2,2.92,2.62,20,1748740.0,3
3,8.49,179.96,5,2.79,3.09,42,3961510.0,1
2,8.3,157.15,5,0.87,2.06,5,3489550.0,1
2,3.89,70.15,2,3.65,0.75,24,1466000.0,2
3,5.93,121.52,4,3.58,4.99,40,2554320.0,1
2,7.24,125.76,4,3.12,2.66,36,2636160.0,1
4,2.49,106.17,3,3.75,1.68,29,2557690.0,3
2,1.76,150.87,5,2.44,3.57,38,3772450.0,2
10,9.72,153.27,5,2.07,3.1,19,3546070.0,3
9,6.21,112.38,3,3.89,1.16,0,2497410.0,4
2,9.82,108.77,3,2.12,4.38,34,2280810.0,1
9,3.44,179.96,5,2.74,0.35,42,4244040.0,5
6,7.06,157.31,5,1.81,3.03,25,3514070.0,2
1,2.3,122.89,4,2.73,2.39,20,2955410.0,2
4,2.69,54.83,1,3.02,1.59,9,1276250.0,4
1,5.17,133.76,4,2.69,4.13,44,2794530.0,1
6,3.26,147.92,4,2.3,3.28,28,3299499.9999999995,4
4,1.76,20.0,1,1.55,3.8,2,493050.0,4
3,2.7,130.07,4,2.75,2.07,42,3117070.0,2
3,0.45,103.33,3,3.68,4.71,40,2683320.0,3
9,7.07,111.17,3,0.52,1.72,42,2434490.0,4
6,4.97,83.7,2,0.97,2.66,40,1781050.0,3
9,1.03,114.07,3,0.92,4.67,12,2873100.0,5
5,1.8,175.68,5,3.73,0.42,8,4440110.0,3
2,1.12,102.14,3,2.82,0.54,45,2428620.0,3
8,6.16,158.62,5,3.83,4.97,15,3599750.0,3
5,1.03,87.75,2,2.54,4.86,48,2021430.0,4
2,7.57,150.35,5,2.12,3.86,46,3301300.0,1
4,0.3,120.07,4,3.27,2.42,27,3140390.0,4
9,2.57,134.08,4,1.06,2.53,27,3338920.0000000005,5
4,8.92,120.29,4,1.83,1.29,10,2560840.0,1
4,7.21,145.67,4,2.13,2.16,43,3062259.9999999995,1
2,0.82,20.0,1,1.54,2.16,29,487780.0,4
6,8.23,63.21,2,1.8,0.18,10,1311760.0,2
2,4.98,136.68,4,0.77,2.27,28,3011730.0,1
7,8.48,38.26,1,1.19,2.4,49,793810.0,3
3,6.05,98.78,3,1.67,3.33,11,2099370.0,1
3,6.85,117.83,3,3.29,2.58,7,2500300.0,1
5,9.94,86.87,2,1.14,4.31,9,1779880.0,1
3,2.4,92.34,3,1.71,1.84,34,2215130.0,3
2,6.28,130.86,4,0.73,2.05,35,2745430.0000000005,1
10,4.66,160.37,5,2.45,2.86,12,3868780.0,5
9,0.49,81.66,2,2.64,1.01,26,2148880.0,5
2,0.24,97.0,3,3.53,1.97,39,2507410.0,3
2,1.28,90.75,3,3.37,3.43,1,2204490.0,3
8,6.53,23.14,1,1.5,2.06,27,537420.0,4
9,5.71,125.67,4,0.98,4.53,33,2758150.0,4
7,5.58,157.39,5,1.05,3.08,20,3541689.9999999995,3
3,0.42,160.67,5,3.89,0.77,5,4371739.999999999,3
9,4.75,85.17,2,2.86,2.44,38,1886590.0,5
3,9.25,69.93,2,0.65,3.82,25,1406590.0000000002,1
5,4.04,120.86,4,0.98,3.22,35,2683380.0,3
9,6.29,153.17,5,2.2,4.43,39,3486399.9999999995,4
3,7.82,126.19,4,1.23,3.75,17,2675260.0,1
7,7.86,131.57,4,3.31,0.31,41,2808280.0,2
1,5.24,165.67,5,2.51,0.56,42,3630349.9999999995,1
4,8.59,90.43,3,2.64,3.25,38,1903890.0000000002,1
4,3.97,111.2,3,2.12,1.19,4,2481660.0,3
7,8.9,185.38,6,1.4,2.94,25,4156840.0,2
8,2.48,112.13,3,2.56,3.96,10,2795480.0,5
1,2.87,69.31,2,3.01,2.88,49,1561880.0,2
5,0.63,93.23,3,1.8,2.08,15,2460340.0,4
7,7.98,82.47,2,2.27,3.23,18,1714590.0,3
4,4.23,134.29,4,3.44,0.72,4,2992380.0,2
4,2.37,84.16,2,1.02,3.62,6,1969900.0,3
4,2.39,130.84,4,2.41,3.49,2,3186730.0,3
6,9.02,90.56,3,1.72,2.57,24,1945180.0,2
7,8.36,35.06,1,2.96,1.39,9,766020.0,3
2,5.58,132.26,4,0.57,3.99,50,2763870.0,1
5,6.2,125.94,4,2.85,2.55,4,2696990.0,2
4,4.8,140.71,4,0.86,0.3,31,3108360.0,2
3,3.98,93.08,3,0.73,4.59,31,2056210.0,2
7,9.16,88.82,2,3.04,3.84,4,1856039.9999999998,2
6,1.34,136.06,4,2.74,2.92,42,3295540.0,4
7,4.24,180.76,6,3.63,2.18,18,4239210.0,3
5,3.51,120.45,4,2.32,4.8,11,2700180.0,3
6,5.03,136.98,4,2.36,3.88,30,2920980.0,3
5,4.63,107.14,3,2.97,2.67,16,2392450.0,3
7,5.24,58.25,1,1.63,3.27,21,1217910.0,4
2,1.49,158.7,5,0.63,1.4,46,3957669.9999999995,2
5,5.18,156.34,5,1.31,0.98,49,3450130.0,2
6,2.5,148.43,4,1.33,1.37,40,3592730.0,4
6,1.92,112.72,3,1.67,1.47,21,2749550.0,4
5,0.74,143.88,4,3.8,3.7,48,3750480.0,4
10,7.65,155.75,5,3.32,0.7,25,3588580.0,4
7,4.33,184.81,6,3.78,3.89,30,4323630.0,3
10,6.3,159.54,5,4.0,2.62,42,3658120.0,4
8,7.3,122.55,4,2.02,1.92,5,2684370.0,3
7,6.83,67.67,2,1.29,1.5,11,1423110.0,3
5,4.76,126.23,4,2.46,2.57,42,2791740.0,3
1,3.94,130.26,4,3.58,1.59,26,2863320.0,1
5,3.82,148.36,4,2.13,2.15,16,3304090.0000000005,3
10,6.44,174.16,5,2.27,3.7,9,4016650.0,4
2,5.0,116.19,3,0.97,3.13,44,2541470.0,1
5,8.51,204.04,6,1.97,3.74,4,3942270.0,1
5,8.76,49.63,1,1.85,3.56,3,1033870.0,2
2,1.79,136.77,4,1.73,4.08,38,3279910.0,2
5,1.45,88.06,2,3.61,1.01,14,2053790.0,4
4,6.34,43.71,1,0.71,4.98,1,911450.0,2
1,3.08,111.93,3,3.9,2.38,48,2434320.0,1
3,0.28,61.71,2,0.53,3.59,7,1568400.0,4
1,8.9,113.54,3,3.81,3.39,15,2391310.0,1
5,2.35,121.39,4,2.42,2.83,19,2951600.0,4
4,9.3,164.74,5,2.96,4.98,23,3657280.0,1
7,7.2,59.7,1,1.15,1.09,34,1230030.0,3
5,7.65,156.34,5,2.79,2.11,16,3483910.0,1
10,2.09,123.92,4,3.59,0.64,4,3151770.0,5
4,2.42,161.15,5,0.99,0.91,13,4065580.0,3
2,5.26,102.73,3,0.94,3.56,13,2174510.0,1
4,1.8,66.71,2,1.56,0.02,45,1521809.9999999998,4
2,3.12,71.3,2,1.07,4.45,42,1482130.0,2
8,3.28,68.33,2,0.89,3.17,30,1514380.0,5
3,1.68,139.11,4,2.87,2.2,19,3357170.0000000005,3
9,2.13,179.08,5,1.25,1.66,12,4616070.0,5
4,7.91,97.4,3,2.83,0.63,8,2074830.0000000002,1
6,1.76,145.17,4,3.52,4.61,33,3525779.9999999995,4
10,0.38,59.06,1,2.78,3.56,11,1633840.0,5
5,6.33,127.21,4,0.92,1.68,39,2688850.0,2
10,9.76,146.74,4,2.51,0.35,15,3248730.0,3
1,3.38,62.08,2,1.88,1.63,0,1319060.0,2
9,1.27,111.84,3,1.7,0.92,15,2808300.0,5
1,5.75,148.64,4,1.61,3.93,5,3146689.9999999995,1
8,9.07,20.0,1,3.75,3.6,19,483450.0,3
9,7.86,173.42,5,3.1,2.49,5,3961119.9999999995,3
9,6.26,134.15,4,0.97,4.43,34,2935040.0,4
1,3.22,148.67,4,2.17,0.9,40,3254369.9999999995,1
2,5.46,103.49,3,1.61,2.26,50,2150200.0,1
1,1.0,51.09,1,3.92,3.55,2,1282430.0000000002,3
10,6.82,141.36,4,3.92,0.34,20,3129320.0000000005,4
2,7.28,116.7,3,1.62,1.86,6,2470800.0,1
10,9.65,121.28,4,1.73,2.86,13,2721870.0,3
8,2.68,163.5,5,2.6,1.83,29,4178560.0,4
5,0.28,150.48,5,2.18,2.4,21,4103580.0,4
7,5.5,196.85,6,1.25,3.04,13,4421530.0,3
2,7.1,126.15,4,2.81,1.84,24,2655020.0,1
8,7.93,92.35,3,1.67,0.53,2,2045739.9999999998,3
6,2.02,112.46,3,2.79,0.7,4,2757650.0,4
